"sample_date","wwtp","measuring_period","measurement_type","value"
2022-02-01,"ARA Basel","2021/22","IAV_gc_per_day",9.9802e+11
2022-02-01,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-02-02,"ARA Basel","2021/22","IAV_gc_per_mL_WW",11
2022-02-02,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-02-02,"ARA Basel","2021/22","IAV_gc_per_day",7.667e+11
2022-02-02,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-02-03,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0.05
2022-02-03,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-02-03,"ARA Basel","2021/22","IAV_gc_per_day",3.47e+09
2022-02-03,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-02-06,"ARA Basel","2021/22","IAV_gc_per_mL_WW",5.5
2022-02-06,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-02-06,"ARA Basel","2021/22","IAV_gc_per_day",3.1845e+11
2022-02-06,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-02-07,"ARA Basel","2021/22","IAV_gc_per_mL_WW",9.75
2022-02-07,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-02-07,"ARA Basel","2021/22","IAV_gc_per_day",1.02375e+12
2022-02-07,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-02-09,"ARA Basel","2021/22","IAV_gc_per_mL_WW",15.2
2022-02-09,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-02-09,"ARA Basel","2021/22","IAV_gc_per_day",9.4544e+11
2022-02-09,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-02-11,"ARA Basel","2021/22","IAV_gc_per_mL_WW",3.5
2022-02-11,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-02-11,"ARA Basel","2021/22","IAV_gc_per_day",4.515e+11
2022-02-11,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-02-13,"ARA Basel","2021/22","IAV_gc_per_mL_WW",7.8
2022-02-13,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-02-13,"ARA Basel","2021/22","IAV_gc_per_day",4.4304e+11
2022-02-13,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-02-16,"ARA Basel","2021/22","IAV_gc_per_mL_WW",14.8
2022-02-16,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-02-16,"ARA Basel","2021/22","IAV_gc_per_day",1.04636e+12
2022-02-16,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-02-18,"ARA Basel","2021/22","IAV_gc_per_mL_WW",121
2022-02-18,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-02-18,"ARA Basel","2021/22","IAV_gc_per_day",8.7846e+12
2022-02-18,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-02-20,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0.05
2022-02-20,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-02-20,"ARA Basel","2021/22","IAV_gc_per_day",2.98e+09
2022-02-20,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-02-22,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0.05
2022-02-22,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-02-22,"ARA Basel","2021/22","IAV_gc_per_day",3.17e+09
2022-02-22,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-02-24,"ARA Basel","2021/22","IAV_gc_per_mL_WW",19.3
2022-02-24,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-02-24,"ARA Basel","2021/22","IAV_gc_per_day",1.14642e+12
2022-02-24,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-02-26,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0.05
2022-02-26,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-02-26,"ARA Basel","2021/22","IAV_gc_per_day",3.37e+09
2022-02-26,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-02-28,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-02-28,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-02-28,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-02-28,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-03-02,"ARA Basel","2021/22","IAV_gc_per_mL_WW",12.5
2022-03-02,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-03-02,"ARA Basel","2021/22","IAV_gc_per_day",7.95e+11
2022-03-02,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-03-06,"ARA Basel","2021/22","IAV_gc_per_mL_WW",19.4
2022-03-06,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-03-06,"ARA Basel","2021/22","IAV_gc_per_day",1.06312e+12
2022-03-06,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-03-08,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0.05
2022-03-08,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-03-08,"ARA Basel","2021/22","IAV_gc_per_day",3.03e+09
2022-03-08,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-03-10,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0.05
2022-03-10,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-03-10,"ARA Basel","2021/22","IAV_gc_per_day",3.125e+09
2022-03-10,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-03-13,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0.05
2022-03-13,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-03-13,"ARA Basel","2021/22","IAV_gc_per_day",2.895e+09
2022-03-13,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-03-15,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0.05
2022-03-15,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-03-15,"ARA Basel","2021/22","IAV_gc_per_day",4.075e+09
2022-03-15,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-03-17,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0.05
2022-03-17,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-03-17,"ARA Basel","2021/22","IAV_gc_per_day",3.2e+09
2022-03-17,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-03-19,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0.05
2022-03-19,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-03-19,"ARA Basel","2021/22","IAV_gc_per_day",2.915e+09
2022-03-19,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-03-21,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0.05
2022-03-21,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-03-21,"ARA Basel","2021/22","IAV_gc_per_day",3.175e+09
2022-03-21,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-03-23,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0.05
2022-03-23,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-03-23,"ARA Basel","2021/22","IAV_gc_per_day",3.2e+09
2022-03-23,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-03-25,"ARA Basel","2021/22","IAV_gc_per_mL_WW",136
2022-03-25,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-03-25,"ARA Basel","2021/22","IAV_gc_per_day",8.6088e+12
2022-03-25,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-03-27,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0.05
2022-03-27,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-03-27,"ARA Basel","2021/22","IAV_gc_per_day",2.87e+09
2022-03-27,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-03-29,"ARA Basel","2021/22","IAV_gc_per_mL_WW",112
2022-03-29,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-03-29,"ARA Basel","2021/22","IAV_gc_per_day",7.112e+12
2022-03-29,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-03-31,"ARA Basel","2021/22","IAV_gc_per_mL_WW",27.4
2022-03-31,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-03-31,"ARA Basel","2021/22","IAV_gc_per_day",3.3154e+12
2022-03-31,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-04-03,"ARA Basel","2021/22","IAV_gc_per_mL_WW",108
2022-04-03,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-04-03,"ARA Basel","2021/22","IAV_gc_per_day",7.452e+12
2022-04-03,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-04-05,"ARA Basel","2021/22","IAV_gc_per_mL_WW",92
2022-04-05,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-04-05,"ARA Basel","2021/22","IAV_gc_per_day",6.2744e+12
2022-04-05,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-04-07,"ARA Basel","2021/22","IAV_gc_per_mL_WW",69.5
2022-04-07,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-04-07,"ARA Basel","2021/22","IAV_gc_per_day",5.08045e+12
2022-04-07,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-04-10,"ARA Basel","2021/22","IAV_gc_per_mL_WW",41.8
2022-04-10,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-04-10,"ARA Basel","2021/22","IAV_gc_per_day",2.81314e+12
2022-04-10,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-04-12,"ARA Basel","2021/22","IAV_gc_per_mL_WW",204
2022-04-12,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-04-12,"ARA Basel","2021/22","IAV_gc_per_day",1.39332e+13
2022-04-12,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-04-17,"ARA Basel","2021/22","IAV_gc_per_mL_WW",37.3
2022-04-17,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-04-17,"ARA Basel","2021/22","IAV_gc_per_day",1.96944e+12
2022-04-17,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-04-19,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-04-19,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-04-19,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-04-19,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-04-21,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-04-21,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-04-21,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-04-21,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-04-24,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-04-24,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-04-24,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-04-24,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-04-26,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-04-26,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-04-26,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-04-26,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-04-28,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-04-28,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-04-28,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-04-28,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-05-01,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-05-01,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-05-01,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-05-01,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-05-03,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-05-03,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-05-03,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-05-03,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-05-05,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-05-05,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-05-05,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-05-05,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-05-08,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-05-08,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-05-08,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-05-08,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-05-10,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-05-10,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-05-10,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-05-10,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-05-12,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-05-12,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-05-12,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-05-12,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-05-15,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-05-15,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-05-15,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-05-15,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-05-17,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-05-17,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-05-17,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-05-17,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-05-19,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-05-19,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-05-19,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-05-19,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-05-22,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-05-22,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-05-22,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-05-22,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-05-26,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-05-26,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-05-26,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-05-26,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-05-30,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-05-30,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-05-30,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-05-30,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-06-01,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-06-01,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-06-01,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-06-01,"ARA Basel","2021/22","IBV_gc_per_day",0
2022-06-05,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2022-06-05,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2022-06-05,"ARA Basel","2021/22","IAV_gc_per_day",0
2022-06-05,"ARA Basel","2021/22","IBV_gc_per_day",0
