,wwtp,sample_date,filt_protocol,dilution,TotalDroplets,SARS-N1_(gc/mLWW),SARS-N1_InhibitionQuant,cases_(#/day/1e5-ppl),flowrate_(kL/day),SARS-N1_pctchange,Population
0,ARA Altenrhein,11/10/21,PMG2,3,27075,288,0.85,27.05976706,20655.88322,,55968
1,ARA Altenrhein,11/11/21,PMG2,3,26028,369,0.92,54.20450722,19245.8831,0.28125,55968
2,ARA Altenrhein,11/12/21,PMG2,3,27110,384,0.96,57.52125073,18285.78322,0.040650407,55968
3,ARA Altenrhein,11/13/21,PMG2,3,25958,352.5,0.905,34.49881834,29903.08366,-0.08203125,55968
4,ARA Altenrhein,11/14/21,PMG2,3,25432,460.5,0.915,27.4282127,20342.08244,0.306382979,55968
5,ARA Altenrhein,11/15/21,PMG2,3,26605,570,1,102.4135382,19040.98085,0.237785016,55968
6,ARA Altenrhein,11/16/21,PMG2,3,26621,444,1.05,75.42510292,16953.77972,-0.221052632,55968
7,ARA Altenrhein,11/17/21,PMG2,3,26050,508.5,0.92,31.00140909,17880.87979,0.14527027,55968
8,ARA Altenrhein,11/18/21,PMG2,3,25468,736.5,1.02,57.47959566,15443.38007,0.448377581,55968
9,ARA Altenrhein,11/19/21,PMG2,3,23001.5,742.5,1.02,91.87361889,15517.3797,0.00814664,55968
10,ARA Altenrhein,11/20/21,PMG2,3,22345.5,793.5,1.03,39.60962867,14329.18047,0.068686869,55968
11,ARA Altenrhein,11/21/21,PMG2,3,20487.5,888,0.985,15.89035864,14256.98148,0.119092628,55968
12,ARA Altenrhein,11/22/21,PMG2,3,25272,723,0.93,58.42699553,15007.88377,-0.185810811,55968
13,ARA Altenrhein,11/23/21,PMG2,3,26602,540,0.935,116.7118115,14534.78116,-0.253112033,55968
14,ARA Altenrhein,11/24/21,PMG2,3,24328,910.5,,33.26167841,14882.18161,0.686111111,55968
15,ARA Altenrhein,11/25/21,PMG2,3,24338,825,,64.88509669,21210.78658,-0.093904448,55968
16,ARA Altenrhein,11/26/21,PMG2,3,21988,945,,102.6988201,17910.28654,0.145454545,55968
17,ARA Altenrhein,11/27/21,PMG2,3,23329.5,1078.5,,34.71345316,17916.09123,0.141269841,55968
18,ARA Altenrhein,11/28/21,PMG2,3,19489.5,960,,18.79123809,17683.39442,-0.109874826,55968
19,ARA Chur,11/10/21,PMG2,5,24089,345.5,0.655,54.54469431,11813,,54610
20,ARA Chur,11/11/21,PMG2,5,25998,326.5,0.67,125.453844,12174,-0.054992764,54610
21,ARA Chur,11/12/21,PMG2,5,26240.5,637.5,0.95,76.36305815,10963,0.952526799,54610
22,ARA Chur,11/13/21,PMG2,5,26183.5,263.5,0.92,50.90794749,39649,-0.586666667,54610
23,ARA Chur,11/14/21,PMG2,5,21957,175.75,1.025,22.0762956,34929,-0.333017078,54610
24,ARA Chur,11/15/21,PMG2,5,26379.5,456.25,1.015,125.4524299,14062,1.59601707,54610
25,ARA Chur,11/16/21,PMG2,5,26245,467.5,0.935,63.63480827,12538,0.024657534,54610
26,ARA Chur,11/17/21,PMG2,5,24138,312,0.67,47.2724126,10547,-0.332620321,54610
27,ARA Chur,11/18/21,PMG2,5,24139.5,535,0.745,178.180318,11313,0.71474359,54610
28,ARA Chur,11/19/21,PMG2,5,22782,560,0.94,85.45336229,11614,0.046728972,54610
29,ARA Chur,11/20/21,PMG2,5,21985,687.5,0.995,52.72689527,11068,0.227678571,54610
30,ARA Chur,11/21/21,PMG2,5,23700.75,770,0.8975,63.63583893,10104,0.12,54610
31,ARA Chur,11/22/21,PMG2,5,25624.5,652.5,0.87,78.18004102,12326,-0.152597403,54610
32,ARA Chur,11/23/21,PMG2,5,26455,630,0.935,105.4527421,10262,-0.034482759,54610
33,ARA Chur,11/24/21,PMG2,5,24822,742.5,,94.54487589,10755,0.178571429,54610
34,ARA Chur,11/25/21,PMG2,5,23887,945,,247.5235315,9897,0.272727273,54610
35,ARA Chur,11/26/21,PMG2,5,23793.5,1095,,122.0737963,11746,0.158730159,54610
36,ARA Chur,11/27/21,PMG2,5,24281.5,1235,,63.63562067,10238,0.127853881,54610
37,ARA Chur,11/28/21,PMG2,5,22802.5,835,,91.16538564,11751,-0.32388664,54610
38,ARA Sensetal,11/10/21,PMG2,3,25396,83.4,0.885,44.90553879,17702,,57779
39,ARA Sensetal,11/11/21,PMG2,3,24859.5,83.7,0.94,39.59160189,17667,0.003597122,57779
40,ARA Sensetal,11/12/21,PMG2,3,24689,109.95,0.935,66.777479,17793,0.313620072,57779
41,ARA Sensetal,11/13/21,PMG2,3,24275.5,127.35,0.885,61.24654802,18369,0.158253752,57779
42,ARA Sensetal,11/14/21,PMG2,3,23224.5,103.65,0.915,45.11049995,17362,-0.186101296,57779
43,ARA Sensetal,11/15/21,PMG2,3,22948.5,107.25,0.97,84.84388677,17566,0.034732272,57779
44,ARA Sensetal,11/16/21,PMG2,3,25324,161.1,0.955,80.2274481,17328,0.502097902,57779
45,ARA Sensetal,11/17/21,PMG2,3,26703,238.65,0.92,58.37226644,17396,0.481378026,57779
46,ARA Sensetal,11/18/21,PMG2,3,24096.5,208.5,0.945,108.3832054,17238,-0.126335638,57779
47,ARA Sensetal,11/19/21,PMG2,3,25425.5,282.6,0.92,100.1889761,17489,0.355395683,57779
48,ARA Sensetal,11/20/21,PMG2,3,24813.5,253.65,0.985,99.95712277,17399,-0.102441614,57779
49,ARA Sensetal,11/21/21,PMG2,3,20928.5,259.2,0.9,83.197757,17225,0.021880544,57779
50,ARA Sensetal,11/22/21,PMG2,3,26099.5,189.6,0.925,103.6261957,18004,-0.268518519,57779
51,ARA Sensetal,11/23/21,PMG2,3,24906,457.5,0.8,125.8604544,17203,1.412974684,57779
52,ARA Sensetal,11/24/21,PMG2,3,26469.5,206.85,,89.52612581,17358,-0.547868852,57779
53,ARA Sensetal,11/25/21,PMG2,3,25958,233.25,,126.6896401,17738,0.127628716,57779
54,ARA Sensetal,11/26/21,PMG2,3,23279,246.45,,119.8714112,19562,0.05659164,57779
55,ARA Sensetal,11/27/21,PMG2,3,25354.5,238.95,,100.9444465,17998,-0.030432136,57779
56,ARA Sensetal,11/28/21,PMG2,3,25907,457.5,,106.9734484,18255,0.914626491,57779
57,ARA Werdhölzli,11/10/21,PMG2,3,24952,157.5,0.69,17.386498,130289.3739,,429371
58,ARA Werdhölzli,11/11/21,PMG2,3,25732,172.35,0.755,39.27935893,129437.2423,0.094285714,429371
59,ARA Werdhölzli,11/12/21,PMG2,3,26667.5,547.5,0.845,34.21571746,128758.8405,2.17667537,429371
60,ARA Werdhölzli,11/13/21,PMG2,3,26354.5,254.1,0.875,26.32206096,130438.9591,-0.535890411,429371
61,ARA Werdhölzli,11/14/21,PMG2,3,22368,285,0.76,21.9758821,146172.5186,0.121605667,429371
62,ARA Werdhölzli,11/15/21,PMG2,3,23091.5,203.25,0.96,50.69303187,131089.7425,-0.286842105,429371
63,ARA Werdhölzli,11/16/21,PMG2,3,22224.5,248.7,0.935,47.01871829,128545.989,0.223616236,429371
64,ARA Werdhölzli,11/17/21,PMG2,3,24644,255.15,1.02,28.52267562,130163.0994,0.025934861,429371
65,ARA Werdhölzli,11/18/21,PMG2,3,24020.5,313.5,0.98,53.02673654,131427.0927,0.228689006,429371
66,ARA Werdhölzli,11/19/21,PMG2,3,23082,445.5,0.95,56.76272336,131053.7034,0.421052632,429371
67,ARA Werdhölzli,11/20/21,PMG2,3,21197.5,278.85,1.015,32.77830282,125039.4959,-0.374074074,429371
68,ARA Werdhölzli,11/21/21,PMG2,3,21193.5,445.5,0.975,28.76702421,124443.4736,0.597633136,429371
69,ARA Werdhölzli,11/22/21,PMG2,3,25557.5,424.5,0.92,24.26482661,139637.199,-0.047138047,429371
70,ARA Werdhölzli,11/23/21,PMG2,3,26329,418.5,0.88,59.09910246,136283.3789,-0.014134276,429371
71,ARA Werdhölzli,11/24/21,PMG2,3,26802.5,231.15,,30.90998971,135584.5011,-0.447670251,429371
72,ARA Werdhölzli,11/25/21,PMG2,3,25996,571.5,,82.39006758,134734.2383,1.472420506,429371
73,ARA Werdhölzli,11/26/21,PMG2,3,25270,459,,79.94776214,151437.4807,-0.196850394,429371
74,ARA Werdhölzli,11/27/21,PMG2,3,26078,567,,52.57972486,137322.7768,0.235294118,429371
75,ARA Werdhölzli,11/28/21,PMG2,3,25574,432,,39.08668274,151406.7454,-0.238095238,429371
76,CDA Lugano,11/10/21,PMG2,5,26138,40.75,0.99,8.308277403,45979,,124990
77,CDA Lugano,11/11/21,PMG2,5,25445,72.25,1.025,12.07913364,45052,0.773006135,124990
78,CDA Lugano,11/12/21,PMG2,5,26167,72,0.975,10.46999398,44795,-0.003460208,124990
79,CDA Lugano,11/13/21,PMG2,5,25177,64.5,0.935,9.656783,64982,-0.104166667,124990
80,CDA Lugano,11/14/21,PMG2,5,23366,14.5,0.965,3.225050702,88535,-0.775193798,124990
81,CDA Lugano,11/15/21,PMG2,5,22562,27.75,0.97,17.72450052,52929,0.913793103,124990
82,CDA Lugano,11/16/21,PMG2,5,25534.5,41.25,0.995,18.51916037,50940,0.486486486,124990
83,CDA Lugano,11/17/21,PMG2,5,23966.5,42,0.93,9.662426815,48303,0.018181818,124990
84,CDA Lugano,11/18/21,PMG2,5,24323.5,54.5,0.945,34.59769674,49833,0.297619048,124990
85,CDA Lugano,11/19/21,PMG2,5,21456,18,0.945,30.58510283,46675,-0.669724771,124990
86,CDA Lugano,11/20/21,PMG2,5,24983,73.25,0.88,21.29063065,41617,3.069444444,124990
87,CDA Lugano,11/21/21,PMG2,5,24502.5,82.5,0.755,8.860732242,54096,0.126279863,124990
88,CDA Lugano,11/22/21,PMG2,5,20546.5,77.75,0.89,24.16448382,64674,-0.057575758,124990
89,CDA Lugano,11/23/21,PMG2,5,24601.5,42.75,1.02,31.41118685,47557,-0.450160772,124990
90,CDA Lugano,11/24/21,PMG2,5,22138,104.5,,15.29295728,43997,1.444444444,124990
91,CDA Lugano,11/25/21,PMG2,5,22802.5,47,,48.5528141,70905,-0.550239234,124990
92,CDA Lugano,11/26/21,PMG2,5,23485.5,94.25,,37.00233031,46873,1.005319149,124990
93,CDA Lugano,11/27/21,PMG2,5,22897,86.5,,19.31323215,110220,-0.082228117,124990
94,CDA Lugano,11/28/21,PMG2,5,20122.5,47.5,,12.07232158,74871,-0.450867052,124990
95,STEP Aire,11/10/21,PMG2,3,25952,124.8,0.77,14.98983658,133841,,440750
96,STEP Aire,11/11/21,PMG2,3,26113,110.7,0.845,21.39115911,124919,-0.112980769,440750
97,STEP Aire,11/12/21,PMG2,3,26121,177.45,0.815,19.4410809,120591,0.60298103,440750
98,STEP Aire,11/13/21,PMG2,3,26395,85.5,0.9,13.67490275,118131,-0.518174134,440750
99,STEP Aire,11/14/21,PMG2,3,23191,154.8,0.94,9.426709955,127342,0.810526316,440750
100,STEP Aire,11/15/21,PMG2,3,23454,76.5,0.93,29.2732567,125060,-0.505813953,440750
101,STEP Aire,11/16/21,PMG2,3,25338.5,187.65,0.885,31.04692309,126267,1.452941176,440750
102,STEP Aire,11/17/21,PMG2,3,25341.5,297.6,0.985,20.87327925,127393,0.585931255,440750
103,STEP Aire,11/18/21,PMG2,3,23750.5,270.3,0.89,28.57940949,124981,-0.091733871,440750
104,STEP Aire,11/19/21,PMG2,3,23439,268.35,1.005,36.11204358,117740,-0.007214206,440750
105,STEP Aire,11/20/21,PMG2,3,23705.5,276.45,1.04,30.76734027,117760,0.030184461,440750
106,STEP Aire,11/21/21,PMG2,3,24079,384,0.91,20.58466795,123970,0.389039609,440750
107,STEP Aire,11/22/21,PMG2,3,26122.5,367.5,0.905,47.13806794,120353,-0.04296875,440750
108,STEP Aire,11/23/21,PMG2,3,26572,408,0.91,51.51165352,120611,0.110204082,440750
109,STEP Aire,11/24/21,PMG2,3,27099,426,,40.25240604,122100,0.044117647,440750
110,STEP Aire,11/25/21,PMG2,3,26877,372,,67.93855173,118302,-0.126760563,440750
111,STEP Aire,11/26/21,PMG2,3,26391.5,442.5,,58.98594727,129022,0.189516129,440750
112,STEP Aire,11/27/21,PMG2,3,25256,466.5,,46.90178672,129874,0.054237288,440750
113,STEP Aire,11/28/21,PMG2,3,27341,357,,33.61733205,122869,-0.234726688,440750
114,ARA Altenrhein,11/10/21,v3.1,3,26836,105.9705882,0.86,27.05976706,20655.88322,,55968
115,ARA Altenrhein,11/11/21,v3.1,3,26570,159,0.86,54.20450722,19245.8831,0.50041632,55968
116,ARA Altenrhein,11/12/21,v3.1,3,26461,95.29411765,0.84,57.52125073,18285.78322,-0.400665927,55968
117,ARA Altenrhein,11/13/21,v3.1,3,26396,139.4117647,0.755,34.49881834,29903.08366,0.462962963,55968
118,ARA Altenrhein,11/14/21,v3.1,3,26166,204.7058824,0.71,27.4282127,20342.08244,0.46835443,55968
119,ARA Altenrhein,11/15/21,v3.1,3,22603.5,162.1764706,0.905,102.4135382,19040.98085,-0.207758621,55968
120,ARA Altenrhein,11/16/21,v3.1,3,24327,145.6764706,0.89,75.42510292,16953.77972,-0.101741023,55968
121,ARA Altenrhein,11/17/21,v3.1,3,26428,273.5294118,0.76,31.00140909,17880.87979,0.877649909,55968
122,ARA Altenrhein,11/18/21,v3.1,3,25723.5,247.9411765,0.81,57.47959566,15443.38007,-0.093548387,55968
123,ARA Altenrhein,11/19/21,v3.1,3,26400.5,292.0588235,0.835,91.87361889,15517.3797,0.177935943,55968
124,ARA Altenrhein,11/20/21,v3.1,3,25284.5,334.4117647,0.87,39.60962867,14329.18047,0.145015106,55968
125,ARA Altenrhein,11/21/21,v3.1,3,24933.5,315,0.745,15.89035864,14256.98148,-0.058047493,55968
126,ARA Altenrhein,11/22/21,v3.1,3,23531,255,0.84,58.42699553,15007.88377,-0.19047619,55968
127,ARA Altenrhein,11/23/21,v3.1,3,21657,226.7647059,0.855,116.7118115,14534.78116,-0.110726644,55968
128,ARA Altenrhein,11/24/21,v3.1,3,25813.5,248.8235294,0.965,33.26167841,14882.18161,0.097276265,55968
129,ARA Altenrhein,11/25/21,v3.1,3,25992.5,264.7058824,0.855,64.88509669,21210.78658,0.063829787,55968
130,ARA Altenrhein,11/26/21,v3.1,3,25835.5,255.8823529,0.915,102.6988201,17910.28654,-0.033333333,55968
131,ARA Altenrhein,11/27/21,v3.1,3,24229.5,382.9411765,0.91,34.71345316,17916.09123,0.496551724,55968
132,ARA Altenrhein,11/28/21,v3.1,3,26560,345.8823529,0.82,18.79123809,17683.39442,-0.096774194,55968
133,ARA Chur,11/10/21,v3.1,5,26181,202.2058824,0.77,54.54469431,11813,,54610
134,ARA Chur,11/11/21,v3.1,5,24293.5,163.6764706,0.765,125.453844,12174,-0.190545455,54610
135,ARA Chur,11/12/21,v3.1,5,26498.5,263.6764706,0.815,76.36305815,10963,0.610961366,54610
136,ARA Chur,11/13/21,v3.1,5,25871.5,74.55882353,0.89,50.90794749,39649,-0.717233687,54610
137,ARA Chur,11/14/21,v3.1,5,21015,43.82352941,,22.0762956,34929,-0.412228797,54610
138,ARA Chur,11/15/21,v3.1,5,22419.5,169.7058824,0.86,125.4524299,14062,2.872483221,54610
139,ARA Chur,11/16/21,v3.1,5,24216,159.4117647,0.895,63.63480827,12538,-0.060658579,54610
140,ARA Chur,11/17/21,v3.1,5,26623.5,163.0882353,0.975,47.2724126,10547,0.023062731,54610
141,ARA Chur,11/18/21,v3.1,5,26383,268.9705882,0.97,178.180318,11313,0.649233544,54610
142,ARA Chur,11/19/21,v3.1,5,26200,259.1176471,0.925,85.45336229,11614,-0.036632039,54610
143,ARA Chur,11/20/21,v3.1,5,26061,260.8823529,0.885,52.72689527,11068,0.006810443,54610
144,ARA Chur,11/21/21,v3.1,5,25758.5,225,0.91,63.63583893,10104,-0.137542277,54610
145,ARA Chur,11/22/21,v3.1,5,25190.5,201.4705882,0.82,78.18004102,12326,-0.104575163,54610
146,ARA Chur,11/23/21,v3.1,5,21308,259.5588235,0.815,105.4527421,10262,0.288321168,54610
147,ARA Chur,11/24/21,v3.1,5,23872.5,358.8235294,0.91,94.54487589,10755,0.382436261,54610
148,ARA Chur,11/25/21,v3.1,5,24750.5,458.8235294,0.945,247.5235315,9897,0.278688525,54610
149,ARA Chur,11/26/21,v3.1,5,21979.5,563.2352941,0.895,122.0737963,11746,0.227564103,54610
150,ARA Chur,11/27/21,v3.1,5,21050,417.6470588,0.89,63.63562067,10238,-0.25848564,54610
151,ARA Chur,11/28/21,v3.1,5,20502,335.2941176,0.875,91.16538564,11751,-0.197183099,54610
152,ARA Sensetal,11/10/21,v3.1,3,25624,67.05882353,0.875,44.90553879,17702,,57779
153,ARA Sensetal,11/11/21,v3.1,3,25612.5,68.38235294,0.98,39.59160189,17667,0.019736842,57779
154,ARA Sensetal,11/12/21,v3.1,3,26769.5,68.64705882,0.945,66.777479,17793,0.003870968,57779
155,ARA Sensetal,11/13/21,v3.1,3,26177.5,76.76470588,0.895,61.24654802,18369,0.118251928,57779
156,ARA Sensetal,11/14/21,v3.1,3,26028,63.44117647,0.88,45.11049995,17362,-0.173563218,57779
157,ARA Sensetal,11/15/21,v3.1,3,26556.5,73.05882353,0.88,84.84388677,17566,0.151599444,57779
158,ARA Sensetal,11/16/21,v3.1,3,26184.5,85.76470588,0.93,80.2274481,17328,0.173913043,57779
159,ARA Sensetal,11/17/21,v3.1,3,25818,232.0588235,0.89,58.37226644,17396,1.705761317,57779
160,ARA Sensetal,11/18/21,v3.1,3,26025,177.8823529,0.92,108.3832054,17238,-0.233460076,57779
161,ARA Sensetal,11/19/21,v3.1,3,26529.5,165.1764706,0.89,100.1889761,17489,-0.071428571,57779
162,ARA Sensetal,11/20/21,v3.1,3,25914,120.2647059,0.835,99.95712277,17399,-0.271901709,57779
163,ARA Sensetal,11/21/21,v3.1,3,23967,102.9705882,0.88,83.197757,17225,-0.14380044,57779
164,ARA Sensetal,11/22/21,v3.1,3,22233.5,92.64705882,0.95,103.6261957,18004,-0.100257069,57779
165,ARA Sensetal,11/23/21,v3.1,3,22291.5,234.7058824,0.835,125.8604544,17203,1.533333333,57779
166,ARA Sensetal,11/24/21,v3.1,3,22448.5,164.2058824,0.925,89.52612581,17358,-0.30037594,57779
167,ARA Sensetal,11/25/21,v3.1,3,24344,175.0588235,0.93,126.6896401,17738,0.066093498,57779
168,ARA Sensetal,11/26/21,v3.1,3,22721,139.4117647,0.995,119.8714112,19562,-0.203629032,57779
169,ARA Sensetal,11/27/21,v3.1,3,23228,137.2058824,0.92,100.9444465,17998,-0.015822785,57779
170,ARA Sensetal,11/28/21,v3.1,3,19339.5,177.1764706,0.885,106.9734484,18255,0.291318328,57779
171,ARA Werdhölzli,11/10/21,v3.1,3,26066.5,86.82352941,0.68,17.386498,130289.3739,,429371
172,ARA Werdhölzli,11/11/21,v3.1,3,27050.5,83.64705882,0.63,39.27935893,129437.2423,-0.036585366,429371
173,ARA Werdhölzli,11/12/21,v3.1,3,23041,108.8823529,0.69,34.21571746,128758.8405,0.301687764,429371
174,ARA Werdhölzli,11/13/21,v3.1,3,26309,124.9411765,0.635,26.32206096,130438.9591,0.147487844,429371
175,ARA Werdhölzli,11/14/21,v3.1,3,21651,116.3823529,0.63,21.9758821,146172.5186,-0.068502825,429371
176,ARA Werdhölzli,11/15/21,v3.1,3,25087,90.79411765,0.755,50.69303187,131089.7425,-0.219863533,429371
177,ARA Werdhölzli,11/16/21,v3.1,3,24107.5,117.4411765,0.635,47.01871829,128545.989,0.293488824,429371
178,ARA Werdhölzli,11/17/21,v3.1,3,25477.5,132.0882353,0.72,28.52267562,130163.0994,0.124718257,429371
179,ARA Werdhölzli,11/18/21,v3.1,3,26517,177.5294118,0.685,53.02673654,131427.0927,0.344021376,429371
180,ARA Werdhölzli,11/19/21,v3.1,3,25374.5,179.3823529,0.74,56.76272336,131053.7034,0.010437376,429371
181,ARA Werdhölzli,11/20/21,v3.1,3,25616.5,123.0882353,0.85,32.77830282,125039.4959,-0.313821938,429371
182,ARA Werdhölzli,11/21/21,v3.1,3,24037.5,103.4117647,0.77,28.76702421,124443.4736,-0.159856631,429371
183,ARA Werdhölzli,11/22/21,v3.1,3,25257.5,133.5882353,0.73,24.26482661,139637.199,0.291808874,429371
184,ARA Werdhölzli,11/23/21,v3.1,3,23705,132.5294118,0.82,59.09910246,136283.3789,-0.007926024,429371
185,ARA Werdhölzli,11/24/21,v3.1,3,26723,131.4705882,0.755,30.90998971,135584.5011,-0.007989348,429371
186,ARA Werdhölzli,11/25/21,v3.1,3,26513,131.1176471,0.64,82.39006758,134734.2383,-0.002684564,429371
187,ARA Werdhölzli,11/26/21,v3.1,3,26931.5,187.9411765,0.705,79.94776214,151437.4807,0.433378197,429371
188,ARA Werdhölzli,11/27/21,v3.1,3,26269,170.8235294,0.735,52.57972486,137322.7768,-0.091079812,429371
189,ARA Werdhölzli,11/28/21,v3.1,3,26542,160.5,0.645,39.08668274,151406.7454,-0.060433884,429371
190,CDA Lugano,11/10/21,v3.1,5,24378,21.02941176,0.785,8.308277403,45979,,124990
191,CDA Lugano,11/11/21,v3.1,5,24104.5,29.26470588,0.875,12.07913364,45052,0.391608392,124990
192,CDA Lugano,11/12/21,v3.1,5,24436,35.88235294,0.805,10.46999398,44795,0.226130653,124990
193,CDA Lugano,11/13/21,v3.1,5,24638,34.41176471,0.89,9.656783,64982,-0.040983607,124990
194,CDA Lugano,11/14/21,v3.1,5,20061,16.91176471,0.81,3.225050702,88535,-0.508547009,124990
195,CDA Lugano,11/15/21,v3.1,5,25057,14.70588235,0.87,17.72450052,52929,-0.130434783,124990
196,CDA Lugano,11/16/21,v3.1,5,24690.5,28.52941176,0.845,18.51916037,50940,0.94,124990
197,CDA Lugano,11/17/21,v3.1,5,25017.5,19.26470588,0.79,9.662426815,48303,-0.324742268,124990
198,CDA Lugano,11/18/21,v3.1,5,26358.5,35.58823529,0.85,34.59769674,49833,0.847328244,124990
199,CDA Lugano,11/19/21,v3.1,5,24624.5,32.20588235,0.845,30.58510283,46675,-0.095041322,124990
200,CDA Lugano,11/20/21,v3.1,5,23831,35.29411765,0.865,21.29063065,41617,0.095890411,124990
201,CDA Lugano,11/21/21,v3.1,5,20280.5,31.47058824,0.85,8.860732242,54096,-0.108333333,124990
202,CDA Lugano,11/22/21,v3.1,5,21437,22.5,0.84,24.16448382,64674,-0.285046729,124990
203,CDA Lugano,11/23/21,v3.1,5,22824,44.70588235,0.99,31.41118685,47557,0.986928105,124990
204,CDA Lugano,11/24/21,v3.1,5,22233,49.85294118,0.915,15.29295728,43997,0.115131579,124990
205,CDA Lugano,11/25/21,v3.1,5,23111,33.08823529,0.81,48.5528141,70905,-0.336283186,124990
206,CDA Lugano,11/26/21,v3.1,5,21645.5,66.91176471,0.865,37.00233031,46873,1.022222222,124990
207,CDA Lugano,11/27/21,v3.1,5,21581,45.88235294,0.93,19.31323215,110220,-0.314285714,124990
208,CDA Lugano,11/28/21,v3.1,5,16740.5,57.94117647,0.915,12.07232158,74871,0.262820513,124990
209,STEP Aire,11/10/21,v3.1,3,27205.5,46.32352941,0.84,14.98983658,133841,,440750
210,STEP Aire,11/11/21,v3.1,3,21242,47.02941176,0.75,21.39115911,124919,0.015238095,440750
211,STEP Aire,11/12/21,v3.1,3,26806.5,41.91176471,0.64,19.4410809,120591,-0.108818011,440750
212,STEP Aire,11/13/21,v3.1,3,26699.5,39.61764706,0.8,13.67490275,118131,-0.054736842,440750
213,STEP Aire,11/14/21,v3.1,3,26852,55.76470588,0.73,9.426709955,127342,0.407572383,440750
214,STEP Aire,11/15/21,v3.1,3,25936,46.05882353,0.795,29.2732567,125060,-0.174050633,440750
215,STEP Aire,11/16/21,v3.1,3,24347.5,95.73529412,0.755,31.04692309,126267,1.078544061,440750
216,STEP Aire,11/17/21,v3.1,3,27135,116.8235294,0.73,20.87327925,127393,0.220276498,440750
217,STEP Aire,11/18/21,v3.1,3,25800,86.02941176,0.765,28.57940949,124981,-0.263595166,440750
218,STEP Aire,11/19/21,v3.1,3,27447.5,61.41176471,0.75,36.11204358,117740,-0.286153846,440750
219,STEP Aire,11/20/21,v3.1,3,26154,104.1176471,0.74,30.76734027,117760,0.695402299,440750
220,STEP Aire,11/21/21,v3.1,3,25561.5,123.7941176,0.635,20.58466795,123970,0.188983051,440750
221,STEP Aire,11/22/21,v3.1,3,21422.5,109.3235294,0.675,47.13806794,120353,-0.116892373,440750
222,STEP Aire,11/23/21,v3.1,3,24814,113.3823529,0.8,51.51165352,120611,0.037126715,440750
223,STEP Aire,11/24/21,v3.1,3,27048.5,151.9411765,0.7,40.25240604,122100,0.340077821,440750
224,STEP Aire,11/25/21,v3.1,3,26293.5,95.91176471,0.665,67.93855173,118302,-0.368757259,440750
225,STEP Aire,11/26/21,v3.1,3,26020.5,112.6764706,0.635,58.98594727,129022,0.174793008,440750
226,STEP Aire,11/27/21,v3.1,3,25515,110.7352941,0.74,46.90178672,129874,-0.017227878,440750
227,STEP Aire,11/28/21,v3.1,3,27184,125.3823529,0.71,33.61733205,122869,0.132270916,440750